"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.String.startsWith (String, int)","0.307 ms (0%)","0.167 ms (0%)","0.464 ms (0%)","0.322 ms (0%)","80"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.165 ms (0%)","0.166 ms (0%)","0.231 ms (0%)","0.229 ms (0%)","486"
"java.lang.String.equals (Object)","0.174 ms (0%)","0.165 ms (0%)","0.242 ms (0%)","0.232 ms (0%)","825"
"Run.lambda$getSuiteFromName$0 ()","0.174 ms (0%)","0.164 ms (0%)","0.174 ms (0%)","0.164 ms (0%)","1"
"java.util.zip.ZipUtils.SH (byte[], int)","0.161 ms (0%)","0.162 ms (0%)","0.161 ms (0%)","0.162 ms (0%)","518"
"java.util.zip.ZipUtils.LG (byte[], int)","0.161 ms (0%)","0.161 ms (0%)","0.263 ms (0%)","0.260 ms (0%)","167"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.160 ms (0%)","0.161 ms (0%)","0.352 ms (0%)","0.349 ms (0%)","38"
"java.lang.StringConcatHelper.newArray (long)","0.166 ms (0%)","0.158 ms (0%)","0.284 ms (0%)","0.272 ms (0%)","85"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.170 ms (0%)","0.158 ms (0%)","2.3 ms (0%)","1.88 ms (0%)","35"
"java.lang.String.regionMatches (boolean, int, String, int, int)","0.150 ms (0%)","0.152 ms (0%)","1.13 ms (0%)","0.865 ms (0%)","54"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.158 ms (0%)","0.149 ms (0%)","1.24 ms (0%)","1.8 ms (0%)","18"
"java.lang.Character.toLowerCase (int)","0.406 ms (0%)","0.149 ms (0%)","0.529 ms (0%)","0.269 ms (0%)","108"
"jdk.internal.loader.BuiltinClassLoader.findLoadedModule (String)","0.170 ms (0%)","0.147 ms (0%)","0.734 ms (0%)","0.699 ms (0%)","47"
"java.nio.charset.CharsetEncoder.encode (java.nio.CharBuffer, java.nio.ByteBuffer, boolean)","0.156 ms (0%)","0.147 ms (0%)","1.4 ms (0%)","1.0 ms (0%)","44"
"sun.nio.cs.UTF_8$Encoder.encodeLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.151 ms (0%)","0.147 ms (0%)","0.865 ms (0%)","0.837 ms (0%)","44"
"java.util.ImmutableCollections$MapN.probe (Object)","0.147 ms (0%)","0.147 ms (0%)","0.271 ms (0%)","0.270 ms (0%)","21"
"java.lang.String.replace (char, char)","0.101 ms (0%)","0.145 ms (0%)","0.312 ms (0%)","0.292 ms (0%)","51"
"jdk.internal.loader.Resource.getBytes ()","0.150 ms (0%)","0.145 ms (0%)","2.75 ms (0%)","2.56 ms (0%)","18"
"java.io.RandomAccessFile.read (byte[], int, int)","0.231 ms (0%)","0.143 ms (0%)","0.231 ms (0%)","0.143 ms (0%)","38"
"java.lang.StringBuilder.toString ()","0.144 ms (0%)","0.141 ms (0%)","0.616 ms (0%)","0.390 ms (0%)","229"
"java.util.Arrays.copyOf (byte[], int)","0.139 ms (0%)","0.141 ms (0%)","0.169 ms (0%)","0.167 ms (0%)","165"
"sun.nio.cs.StreamEncoder.implWrite (java.nio.CharBuffer)","0.146 ms (0%)","0.140 ms (0%)","1.21 ms (0%)","1.17 ms (0%)","44"
"sun.nio.cs.StreamEncoder.writeBytes ()","0.145 ms (0%)","0.139 ms (0%)","1.35 ms (0%)","1.30 ms (0%)","44"
"sun.net.www.protocol.jar.Handler.parseContextSpec (java.net.URL, String)","0.145 ms (0%)","0.138 ms (0%)","8.23 ms (0%)","1.22 ms (0%)","18"
"java.lang.ClassLoader.findLoadedClass (String)","0.136 ms (0%)","0.132 ms (0%)","0.684 ms (0%)","0.654 ms (0%)","47"
"java.lang.StringLatin1.newString (byte[], int, int)","0.130 ms (0%)","0.129 ms (0%)","0.517 ms (0%)","0.319 ms (0%)","523"
