"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.concurrent.ConcurrentHashMap.transfer (java.util.concurrent.ConcurrentHashMap.Node[], java.util.concurrent.ConcurrentHashMap.Node[])","0.597 ms (0%)","0.602 ms (0%)","1.82 ms (0%)","1.80 ms (0%)","2"
"java.lang.String.substring (int, int)","0.833 ms (0%)","0.586 ms (0%)","19.0 ms (0%)","1.70 ms (0%)","723"
"Run.runBenchmark ()","0.596 ms (0%)","0.586 ms (0%)","133,823 ms (8.9%)","129,309 ms (8.9%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","5.25 ms (0%)","0.555 ms (0%)","15.1 ms (0%)","2.76 ms (0%)","1,037"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.541 ms (0%)","0.535 ms (0%)","2.2 ms (0%)","1.94 ms (0%)","37"
"java.lang.invoke.InvokerBytecodeGenerator.emitStaticInvoke (java.lang.invoke.MemberName, java.lang.invoke.LambdaForm.Name)","0.590 ms (0%)","0.523 ms (0%)","10.0 ms (0%)","9.69 ms (0%)","143"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.516 ms (0%)","0.511 ms (0%)","9.83 ms (0%)","6.39 ms (0%)","36"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.503 ms (0%)","0.510 ms (0%)","0.898 ms (0%)","0.879 ms (0%)","984"
"java.lang.String.indexOf (int, int)","0.627 ms (0%)","0.498 ms (0%)","2.8 ms (0%)","1.59 ms (0%)","984"
"java.lang.AbstractStringBuilder.append (char)","6.10 ms (0%)","0.482 ms (0%)","12.1 ms (0%)","0.794 ms (0%)","552"
"jdk.internal.org.objectweb.asm.Frame.execute (int, int, jdk.internal.org.objectweb.asm.Symbol, jdk.internal.org.objectweb.asm.SymbolTable)","0.545 ms (0%)","0.481 ms (0%)","3.12 ms (0%)","2.66 ms (0%)","897"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","6.59 ms (0%)","0.476 ms (0%)","12.9 ms (0%)","1.26 ms (0%)","1,704"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.669 ms (0%)","0.444 ms (0%)","0.823 ms (0%)","0.565 ms (0%)","1,190"
"java.lang.StringLatin1.newString (byte[], int, int)","7.75 ms (0%)","0.424 ms (0%)","8.59 ms (0%)","1.0 ms (0%)","1,147"
