"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","0.250 ms (0%)","0.243 ms (0%)","1.3 ms (0%)","1.0 ms (0%)","60"
"java.lang.Class.getPackageName ()","0.234 ms (0%)","0.231 ms (0%)","0.770 ms (0%)","0.644 ms (0%)","195"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.243 ms (0%)","0.226 ms (0%)","17.4 ms (0%)","16.2 ms (0%)","38"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.234 ms (0%)","0.226 ms (0%)","0.936 ms (0%)","0.894 ms (0%)","39"
"java.lang.Class.getClassLoader ()","0.251 ms (0%)","0.224 ms (0%)","0.411 ms (0%)","0.378 ms (0%)","584"
"java.util.Arrays.copyOf (byte[], int)","0.232 ms (0%)","0.223 ms (0%)","0.287 ms (0%)","0.273 ms (0%)","398"
"java.lang.StringConcatHelper.newArray (long)","0.221 ms (0%)","0.217 ms (0%)","0.544 ms (0%)","0.538 ms (0%)","368"
"Run.printTotal ()","0.213 ms (0%)","0.216 ms (0%)","0.330 ms (0%)","0.324 ms (0%)","1"
"java.io.PrintStream.writeln (String)","0.219 ms (0%)","0.208 ms (0%)","4.61 ms (0%)","4.48 ms (0%)","43"
"java.lang.String.startsWith (String, int)","0.228 ms (0%)","0.207 ms (0%)","0.409 ms (0%)","0.382 ms (0%)","207"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.202 ms (0%)","0.202 ms (0%)","0.281 ms (0%)","0.277 ms (0%)","368"
"java.lang.String.replace (char, char)","0.207 ms (0%)","0.201 ms (0%)","1.5 ms (0%)","1.3 ms (0%)","308"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.203 ms (0%)","0.198 ms (0%)","0.275 ms (0%)","0.270 ms (0%)","277"
"java.lang.StringBuilder.toString ()","0.195 ms (0%)","0.196 ms (0%)","0.729 ms (0%)","0.714 ms (0%)","538"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.195 ms (0%)","0.194 ms (0%)","0.517 ms (0%)","0.509 ms (0%)","58"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","0.203 ms (0%)","0.192 ms (0%)","0.736 ms (0%)","0.708 ms (0%)","114"
"java.io.BufferedWriter.write (String, int, int)","0.187 ms (0%)","0.192 ms (0%)","0.415 ms (0%)","0.402 ms (0%)","87"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.190 ms (0%)","0.191 ms (0%)","1.1 ms (0%)","0.995 ms (0%)","38"
"sun.net.www.ParseUtil.firstEncodeIndex (String)","0.393 ms (0%)","0.190 ms (0%)","1.2 ms (0%)","0.647 ms (0%)","38"
"java.lang.Class.getName ()","0.222 ms (0%)","0.187 ms (0%)","0.222 ms (0%)","0.187 ms (0%)","625"
"java.lang.AbstractStringBuilder.append (int)","0.192 ms (0%)","0.187 ms (0%)","0.341 ms (0%)","0.332 ms (0%)","122"
"jdk.internal.loader.URLClassPath$JarLoader$2.getBytes ()","0.188 ms (0%)","0.183 ms (0%)","3.78 ms (0%)","3.65 ms (0%)","38"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.204 ms (0%)","0.183 ms (0%)","2.60 ms (0%)","2.51 ms (0%)","68"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.183 ms (0%)","0.179 ms (0%)","2.98 ms (0%)","2.90 ms (0%)","38"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.174 ms (0%)","0.175 ms (0%)","0.290 ms (0%)","0.286 ms (0%)","368"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.177 ms (0%)","0.174 ms (0%)","1.41 ms (0%)","1.26 ms (0%)","38"
"deltablue.Strength.createStrengthTable ()","0.176 ms (0%)","0.174 ms (0%)","2.54 ms (0%)","2.51 ms (0%)","1"
"jdk.internal.loader.Resource.getBytes ()","0.178 ms (0%)","0.170 ms (0%)","3.57 ms (0%)","3.44 ms (0%)","38"
"java.lang.ClassLoader.checkName (String)","0.168 ms (0%)","0.168 ms (0%)","0.797 ms (0%)","0.780 ms (0%)","176"
"java.lang.StringBuilder.append (char)","0.182 ms (0%)","0.165 ms (0%)","0.707 ms (0%)","0.679 ms (0%)","586"
"java.lang.System.getSecurityManager ()","0.172 ms (0%)","0.161 ms (0%)","0.257 ms (0%)","0.243 ms (0%)","551"
"java.io.BufferedOutputStream.flushBuffer ()","0.168 ms (0%)","0.161 ms (0%)","1.3 ms (0%)","1.1 ms (0%)","88"
"java.lang.String.regionMatches (boolean, int, String, int, int)","0.161 ms (0%)","0.160 ms (0%)","1.3 ms (0%)","1.0 ms (0%)","114"
"java.util.Objects.equals (Object, Object)","0.173 ms (0%)","0.159 ms (0%)","0.248 ms (0%)","0.231 ms (0%)","892"
"java.lang.String.lastIndexOf (int, int)","0.161 ms (0%)","0.156 ms (0%)","0.551 ms (0%)","0.537 ms (0%)","368"
"java.lang.String.lastIndexOf (int)","0.199 ms (0%)","0.154 ms (0%)","0.916 ms (0%)","0.846 ms (0%)","330"
"Run.lambda$getSuiteFromName$2 ()","0.162 ms (0%)","0.154 ms (0%)","0.209 ms (0%)","0.201 ms (0%)","1"
"java.util.WeakHashMap.put (Object, Object)","0.276 ms (0%)","0.149 ms (0%)","0.426 ms (0%)","0.292 ms (0%)","39"
"sun.nio.cs.StreamEncoder.writeBytes ()","0.158 ms (0%)","0.149 ms (0%)","1.54 ms (0%)","1.50 ms (0%)","44"
"java.lang.Character.toLowerCase (int)","0.146 ms (0%)","0.145 ms (0%)","0.333 ms (0%)","0.324 ms (0%)","228"
"java.lang.ref.ReferenceQueue.poll ()","0.207 ms (0%)","0.142 ms (0%)","0.235 ms (0%)","0.169 ms (0%)","880"
"java.nio.charset.CharsetEncoder.encode (java.nio.CharBuffer, java.nio.ByteBuffer, boolean)","0.151 ms (0%)","0.142 ms (0%)","1.5 ms (0%)","1.2 ms (0%)","44"
"java.lang.StringLatin1.canEncode (int)","0.157 ms (0%)","0.141 ms (0%)","0.157 ms (0%)","0.141 ms (0%)","2,450"
"java.lang.CharacterDataLatin1.toLowerCase (int)","0.259 ms (0%)","0.141 ms (0%)","0.311 ms (0%)","0.192 ms (0%)","380"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.145 ms (0%)","0.138 ms (0%)","26.1 ms (0%)","24.3 ms (0%)","38"
"java.lang.ClassLoader.findLoadedClass (String)","0.135 ms (0%)","0.135 ms (0%)","0.609 ms (0%)","0.595 ms (0%)","86"
"som.IdentityDictionary.newEntry (som.Dictionary.CustomHash, Object, int)","0.135 ms (0%)","0.135 ms (0%)","0.135 ms (0%)","0.135 ms (0%)","16"
"java.lang.StringLatin1.hashCode (byte[])","0.135 ms (0%)","0.134 ms (0%)","0.135 ms (0%)","0.134 ms (0%)","832"
"java.lang.StringConcatHelper.prepend (long, byte[], String)","0.144 ms (0%)","0.132 ms (0%)","0.324 ms (0%)","0.312 ms (0%)","207"
"java.lang.ClassLoader.checkCerts (String, java.security.CodeSource)","0.129 ms (0%)","0.130 ms (0%)","0.418 ms (0%)","0.413 ms (0%)","38"
"sun.nio.cs.StreamEncoder.implWrite (java.nio.CharBuffer)","0.131 ms (0%)","0.130 ms (0%)","1.20 ms (0%)","1.17 ms (0%)","44"
"java.lang.StringConcatHelper.mix (long, String)","0.129 ms (0%)","0.128 ms (0%)","0.251 ms (0%)","0.238 ms (0%)","172"
"sun.net.www.protocol.jar.Handler.parseContextSpec (java.net.URL, String)","0.128 ms (0%)","0.127 ms (0%)","1.5 ms (0%)","1.1 ms (0%)","38"
"java.lang.StringLatin1.indexOfChar (byte[], int, int, int)","0.130 ms (0%)","0.125 ms (0%)","0.130 ms (0%)","0.125 ms (0%)","885"
"sun.nio.cs.UTF_8$Encoder.encodeLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.126 ms (0%)","0.123 ms (0%)","0.880 ms (0%)","0.859 ms (0%)","44"
"java.io.PrintStream.write (byte[], int, int)","0.126 ms (0%)","0.122 ms (0%)","1.26 ms (0%)","1.23 ms (0%)","44"
"java.util.zip.ZipFile.getEntry (String)","0.125 ms (0%)","0.117 ms (0%)","1.85 ms (0%)","1.79 ms (0%)","38"
"java.util.zip.ZipUtils.LG (byte[], int)","0.114 ms (0%)","0.117 ms (0%)","0.187 ms (0%)","0.184 ms (0%)","347"
"jdk.internal.loader.BuiltinClassLoader.findLoadedModule (String)","0.118 ms (0%)","0.116 ms (0%)","0.772 ms (0%)","0.750 ms (0%)","86"
"java.util.WeakHashMap.remove (Object)","0.115 ms (0%)","0.115 ms (0%)","0.311 ms (0%)","0.305 ms (0%)","78"
"java.lang.String.indexOf (int)","0.127 ms (0%)","0.113 ms (0%)","0.749 ms (0%)","0.721 ms (0%)","363"
"sun.nio.cs.StreamEncoder.implWrite (char[], int, int)","0.120 ms (0%)","0.113 ms (0%)","1.80 ms (0%)","1.75 ms (0%)","44"
"java.util.concurrent.ConcurrentHashMap.replaceNode (Object, Object, Object)","0.111 ms (0%)","0.112 ms (0%)","0.230 ms (0%)","0.224 ms (0%)","69"
"java.io.Writer.write (String)","0.110 ms (0%)","0.110 ms (0%)","0.553 ms (0%)","0.533 ms (0%)","87"
"jdk.internal.loader.URLClassPath$JarLoader.getResource (String, boolean)","0.085 ms (0%)","0.109 ms (0%)","7.89 ms (0%)","7.12 ms (0%)","38"
"java.lang.CharacterDataLatin1.toUpperCase (int)","0.105 ms (0%)","0.105 ms (0%)","0.149 ms (0%)","0.144 ms (0%)","232"
"java.util.zip.ZipFile$ZipFileInputStream.initDataOffset ()","0.104 ms (0%)","0.105 ms (0%)","0.677 ms (0%)","0.659 ms (0%)","39"
"java.io.RandomAccessFile.seek (long)","0.104 ms (0%)","0.104 ms (0%)","0.104 ms (0%)","0.104 ms (0%)","78"
"java.util.concurrent.ConcurrentHashMap.spread (int)","0.122 ms (0%)","0.103 ms (0%)","0.122 ms (0%)","0.103 ms (0%)","1,133"
"java.lang.String.newStringUTF8NoRepl (byte[], int, int)","0.119 ms (0%)","0.102 ms (0%)","0.205 ms (0%)","0.187 ms (0%)","39"
"java.util.jar.JarFile.entryFor (String)","0.100 ms (0%)","0.101 ms (0%)","0.121 ms (0%)","0.121 ms (0%)","38"
