"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.481 ms (0%)","0.489 ms (0%)","7.31 ms (0%)","7.17 ms (0%)","38"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.473 ms (0%)","0.481 ms (0%)","0.607 ms (0%)","0.596 ms (0%)","1,186"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.486 ms (0%)","0.479 ms (0%)","0.715 ms (0%)","0.707 ms (0%)","1,311"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.461 ms (0%)","0.455 ms (0%)","2.51 ms (0%)","2.46 ms (0%)","1,034"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.472 ms (0%)","0.438 ms (0%)","1.8 ms (0%)","1.3 ms (0%)","1,726"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.436 ms (0%)","0.427 ms (0%)","0.735 ms (0%)","0.718 ms (0%)","917"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.431 ms (0%)","0.426 ms (0%)","0.553 ms (0%)","0.544 ms (0%)","1,034"
"java.lang.StringLatin1.newString (byte[], int, int)","0.399 ms (0%)","0.395 ms (0%)","1.1 ms (0%)","1.0 ms (0%)","1,141"
"java.lang.String.indexOf (int, int)","0.413 ms (0%)","0.394 ms (0%)","1.29 ms (0%)","1.26 ms (0%)","917"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.403 ms (0%)","0.393 ms (0%)","37.9 ms (0.2%)","36.0 ms (0.2%)","86"
"Harness.processArguments (String[])","0.494 ms (0%)","0.377 ms (0%)","20.3 ms (0.1%)","19.0 ms (0.1%)","1"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.381 ms (0%)","0.371 ms (0%)","1.13 ms (0%)","1.9 ms (0%)","38"
"Run.printTotal ()","0.359 ms (0%)","0.361 ms (0%)","0.694 ms (0%)","0.688 ms (0%)","1"
"java.lang.ref.Cleaner.register (Object, Runnable)","0.338 ms (0%)","0.336 ms (0%)","0.661 ms (0%)","0.650 ms (0%)","70"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.328 ms (0%)","0.328 ms (0%)","0.448 ms (0%)","0.442 ms (0%)","367"
"java.lang.StringBuilder.append (String)","0.341 ms (0%)","0.321 ms (0%)","5.30 ms (0%)","5.4 ms (0%)","1,034"
"Run.printResult (long)","0.316 ms (0%)","0.320 ms (0%)","0.570 ms (0%)","0.554 ms (0%)","1"
"java.lang.String.equals (Object)","0.337 ms (0%)","0.309 ms (0%)","0.659 ms (0%)","0.454 ms (0%)","1,573"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","0.327 ms (0%)","0.306 ms (0%)","1.25 ms (0%)","1.22 ms (0%)","60"
