"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","3.18 ms (0%)","2.97 ms (0%)","9.58 ms (0%)","9.18 ms (0%)","38"
"deltablue.Planner.extractPlanFromConstraints (som.Vector)","2.87 ms (0%)","2.89 ms (0%)","13,873 ms (1%)","13,417 ms (1%)","400"
"java.lang.StringLatin1.charAt (byte[], int)","2.84 ms (0%)","2.73 ms (0%)","2.84 ms (0%)","2.73 ms (0%)","28,088"
"deltablue.Strength.createStrengthConstants ()","2.28 ms (0%)","2.30 ms (0%)","7.63 ms (0%)","7.33 ms (0%)","1"
"Run.printResult (long)","2.16 ms (0%)","2.17 ms (0%)","8.92 ms (0%)","8.86 ms (0%)","80"
"java.lang.String.length ()","1.71 ms (0%)","1.66 ms (0%)","2.63 ms (0%)","2.55 ms (0%)","7,254"
"java.util.concurrent.ConcurrentHashMap.get (Object)","1.43 ms (0%)","1.40 ms (0%)","2.47 ms (0%)","2.38 ms (0%)","758"
"java.io.FileOutputStream.write (byte[], int, int)","1.42 ms (0%)","1.36 ms (0%)","1.43 ms (0%)","1.38 ms (0%)","84"
"java.util.zip.Inflater.inflate (byte[], int, int)","1.9 ms (0%)","1.8 ms (0%)","1.30 ms (0%)","1.28 ms (0%)","107"
"java.lang.String.coder ()","1.2 ms (0%)","0.995 ms (0%)","1.2 ms (0%)","0.995 ms (0%)","10,626"
"deltablue.AbstractConstraint.destroyConstraint (deltablue.Planner)","0.977 ms (0%)","0.972 ms (0%)","25,192 ms (1.8%)","24,516 ms (1.8%)","400"
"java.lang.String.hashCode ()","1.0 ms (0%)","0.926 ms (0%)","1.39 ms (0%)","1.31 ms (0%)","4,390"
"Run.getSuiteFromName (String)","0.940 ms (0%)","0.917 ms (0%)","2.35 ms (0%)","2.22 ms (0%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","1.8 ms (0%)","0.856 ms (0%)","2.4 ms (0%)","1.80 ms (0%)","1,040"
"java.lang.AbstractStringBuilder.append (String)","0.800 ms (0%)","0.784 ms (0%)","5.48 ms (0%)","5.17 ms (0%)","1,040"
"Run.measure (Benchmark)","0.737 ms (0%)","0.740 ms (0%)","155,496 ms (11.3%)","150,837 ms (11.3%)","80"
"som.Vector.sort (java.util.Comparator)","0.718 ms (0%)","0.701 ms (0%)","0.995 ms (0%)","0.971 ms (0%)","400"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.671 ms (0%)","0.673 ms (0%)","1.8 ms (0%)","0.986 ms (0%)","52"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.675 ms (0%)","0.672 ms (0%)","1.45 ms (0%)","1.43 ms (0%)","242"
"Run.runBenchmark ()","0.638 ms (0%)","0.622 ms (0%)","155,518 ms (11.3%)","150,855 ms (11.3%)","1"
